campus_id,poi_id,name,category,category_label,priority,aliases,note,photo_file
beiyangyuan,beiyangyuan-main-building,北洋园校区主楼,teaching,教学/科研,P1,主楼、32教学楼、32教,官方北洋园校区导览将其列为楼宇场馆。,beiyangyuan/beiyangyuan-main-building.jpg
beiyangyuan,beiyangyuan-earthquake-facility,国家大型地震工程模拟研究设施,teaching,教学/科研,P1,,官方北洋园校区导览将其列为楼宇场馆。,beiyangyuan/beiyangyuan-earthquake-facility.jpg
beiyangyuan,beiyangyuan-xingsun-building,杏荪楼,teaching,教学/科研,P1,,官方北洋园校区导览将其列为楼宇场馆。,beiyangyuan/beiyangyuan-xingsun-building.jpg
beiyangyuan,beiyangyuan-jufang-guiyuan,矩方规圆楼,teaching,教学/科研,P1,,官方北洋园校区导览将其列为楼宇场馆。,beiyangyuan/beiyangyuan-jufang-guiyuan.jpg
beiyangyuan,beiyangyuan-zhengdong-library,郑东图书馆,library,图书馆,P1,郑东馆、图书馆,北洋园校区图书馆，2015年9月投入使用。,beiyangyuan/beiyangyuan-zhengdong-library.jpg
beiyangyuan,beiyangyuan-east-gate,北洋园校区东门,gate,校门,P1,北洋园东门、东门,官方北洋园校区导览将其列为校园规划项目。入口坐标和开放规则未核验。,beiyangyuan/beiyangyuan-east-gate.jpg
beiyangyuan,beiyangyuan-xue-3-dining,学三食堂（棠园餐厅）,dining,餐饮,P1,学3食堂、棠园餐厅,2024年迎新网食堂信息称其为北洋园学生食堂。营业时间未核验。,beiyangyuan/beiyangyuan-xue-3-dining.jpg
beiyangyuan,beiyangyuan-gym,综合体育馆,sports,体育,P1,体育馆,官方北洋园校区导览将其列为楼宇场馆。,beiyangyuan/beiyangyuan-gym.jpg
beiyangyuan,beiyangyuan-sanwen-bridge,三问桥,culture,文化/景观,P1,,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-sanwen-bridge.jpg
beiyangyuan,beiyangyuan-shutian-square,书田广场,culture,文化/景观,P1,,官方北洋园校区导览将其列为校园规划项目。,beiyangyuan/beiyangyuan-shutian-square.jpg
beiyangyuan,beiyangyuan-memorial-pavilion,北洋纪念亭,culture,文化/景观,P1,,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-memorial-pavilion.jpg
beiyangyuan,beiyangyuan-tju-star,天津大学星,culture,文化/景观,P1,天大星,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-tju-star.jpg
beiyangyuan,beiyangyuan-tianlin-square,天麟广场,culture,文化/景观,P1,,官方北洋园校区导览将其列为校园规划项目。,beiyangyuan/beiyangyuan-tianlin-square.jpg
beiyangyuan,beiyangyuan-tailei-square,太雷广场,culture,文化/景观,P1,,官方北洋园校区导览将其列为校园规划项目。,beiyangyuan/beiyangyuan-tailei-square.jpg
beiyangyuan,beiyangyuan-motto-stone,实事求是校训石,culture,文化/景观,P1,校训石,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-motto-stone.jpg
beiyangyuan,beiyangyuan-xuanhuai-square,宣怀广场,culture,文化/景观,P1,,官方北洋园校区导览将其列为校园规划项目。,beiyangyuan/beiyangyuan-xuanhuai-square.jpg
beiyangyuan,beiyangyuan-shangxian-stone,尚贤石,culture,文化/景观,P1,,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-shangxian-stone.jpg
beiyangyuan,beiyangyuan-gaokao-wall,恢复高考纪念墙,culture,文化/景观,P1,,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-gaokao-wall.jpg
beiyangyuan,beiyangyuan-chunhui-garden,春晖园,culture,文化/景观,P1,,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-chunhui-garden.jpg
beiyangyuan,beiyangyuan-alumni-forest,校友林景观带,culture,文化/景观,P1,,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-alumni-forest.jpg
beiyangyuan,beiyangyuan-motto-ding,校训鼎,culture,文化/景观,P1,,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-motto-ding.jpg
beiyangyuan,beiyangyuan-peach-bank,桃花堤,culture,文化/景观,P1,,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-peach-bank.jpg
beiyangyuan,beiyangyuan-qiushi-hall,求实会堂,culture,文化/景观,P1,,官方场馆中心页面列为北洋园校区管理场馆。,beiyangyuan/beiyangyuan-qiushi-hall.jpg
beiyangyuan,beiyangyuan-qiushi-avenue,求是大道,culture,文化/景观,P1,,官方北洋园校区导览将其列为校园规划项目。,beiyangyuan/beiyangyuan-qiushi-avenue.jpg
beiyangyuan,beiyangyuan-haitang-bank,海棠堤,culture,文化/景观,P1,,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-haitang-bank.jpg
beiyangyuan,beiyangyuan-newton-tree,牛顿苹果树,culture,文化/景观,P1,,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-newton-tree.jpg
beiyangyuan,beiyangyuan-suzhou-pavilion,苏州亭,culture,文化/景观,P1,,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-suzhou-pavilion.jpg
beiyangyuan,beiyangyuan-qin-exam,钦字第一号考凭,culture,文化/景观,P1,,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-qin-exam.jpg
beiyangyuan,beiyangyuan-youth-lake,青年湖,culture,文化/景观,P1,,官方北洋园校区导览将其列为风物景观。,beiyangyuan/beiyangyuan-youth-lake.jpg
beiyangyuan,beiyangyuan-datong-center,大通学生中心,service,服务,P1,学生中心,大通学生中心位于北洋园主轴线尽端的临水半岛；2016校方设计介绍与2017图面“学生活动中心,beiyangyuan/beiyangyuan-datong-center.jpg
beiyangyuan,beiyangyuan-xue-1-dining,学一食堂（梅园餐厅）,dining,餐饮,P2,学1食堂、梅园餐厅,2024年迎新网食堂信息称其为北洋园学生食堂。营业时间未核验。,beiyangyuan/beiyangyuan-xue-1-dining.jpg
beiyangyuan,beiyangyuan-xue-2-dining,学二食堂（兰园餐厅）,dining,餐饮,P2,学2食堂、兰园餐厅,2024年迎新网食堂信息称其为北洋园学生食堂。营业时间未核验。,beiyangyuan/beiyangyuan-xue-2-dining.jpg
beiyangyuan,beiyangyuan-xue-5-dining,学五食堂（桃园餐厅）,dining,餐饮,P2,学5食堂、桃园餐厅,2024年迎新网食堂信息称其为北洋园学生食堂。营业时间未核验。,beiyangyuan/beiyangyuan-xue-5-dining.jpg
beiyangyuan,beiyangyuan-xue-6-dining,学六食堂（菊园餐厅）,dining,餐饮,P2,学6食堂、菊园餐厅、清真食堂,2024年迎新网食堂信息称其为北洋园学生食堂，并称其为清真食堂。营业时间未核验。,beiyangyuan/beiyangyuan-xue-6-dining.jpg
beiyangyuan,beiyangyuan-xue-4-dining,学四食堂（竹园餐厅）,dining,餐饮,P2,学4食堂、竹园餐厅,2024年迎新网食堂信息称其为北洋园学生食堂。营业时间未核验。,beiyangyuan/beiyangyuan-xue-4-dining.jpg
beiyangyuan,beiyangyuan-international-dining,留学生食堂,dining,餐饮,P2,,2024年迎新网食堂信息将其列为北洋园食堂。营业时间未核验。,beiyangyuan/beiyangyuan-international-dining.jpg
beiyangyuan,beiyangyuan-dorm-xiu,修园,dorm_area,宿舍区,P3,,2024迎新介绍列出的学生宿舍区域；当前住宿分配和出入规则须另核验。,beiyangyuan/beiyangyuan-dorm-xiu.jpg
beiyangyuan,beiyangyuan-dorm-ping,平园,dorm_area,宿舍区,P3,,2024迎新介绍列出的学生宿舍区域；当前住宿分配和出入规则须另核验。,beiyangyuan/beiyangyuan-dorm-ping.jpg
beiyangyuan,beiyangyuan-dorm-ge,格园,dorm_area,宿舍区,P3,,2024迎新介绍列出的学生宿舍区域；当前住宿分配和出入规则须另核验。,beiyangyuan/beiyangyuan-dorm-ge.jpg
beiyangyuan,beiyangyuan-dorm-zheng,正园,dorm_area,宿舍区,P3,,2024迎新介绍列出的学生宿舍区域；当前住宿分配和出入规则须另核验。,beiyangyuan/beiyangyuan-dorm-zheng.jpg
beiyangyuan,beiyangyuan-dorm-zhi-guo,治园,dorm_area,宿舍区,P3,,2024迎新介绍列出的学生宿舍区域；当前住宿分配和出入规则须另核验。,beiyangyuan/beiyangyuan-dorm-zhi-guo.jpg
beiyangyuan,beiyangyuan-dorm-zhi,知园,dorm_area,宿舍区,P3,,2024迎新介绍列出的学生宿舍区域；当前住宿分配和出入规则须另核验。,beiyangyuan/beiyangyuan-dorm-zhi.jpg
beiyangyuan,beiyangyuan-dorm-cheng,诚园,dorm_area,宿舍区,P3,,2024迎新介绍列出的学生宿舍区域；当前住宿分配和出入规则须另核验。,beiyangyuan/beiyangyuan-dorm-cheng.jpg
beiyangyuan,beiyangyuan-dorm-qi,齐园,dorm_area,宿舍区,P3,,2024迎新介绍列出的学生宿舍区域；当前住宿分配和出入规则须另核验。,beiyangyuan/beiyangyuan-dorm-qi.jpg
beiyangyuan,beiyangyuan-qixing-road,七星路,other,其他,P3,,官方北洋园校区导览将其列为校园规划项目。,beiyangyuan/beiyangyuan-qixing-road.jpg
beiyangyuan,beiyangyuan-le-garden,乐园,other,其他,P3,,校方导览名称，具体用途尚未核验；不据此认定学生宿舍。,beiyangyuan/beiyangyuan-le-garden.jpg
beiyangyuan,beiyangyuan-shu-garden,书园,other,其他,P3,,校方导览名称，具体用途尚未核验；不据此认定学生宿舍。,beiyangyuan/beiyangyuan-shu-garden.jpg
beiyangyuan,beiyangyuan-xingxue-road,兴学路,other,其他,P3,,官方北洋园校区导览将其列为校园规划项目。,beiyangyuan/beiyangyuan-xingxue-road.jpg
beiyangyuan,beiyangyuan-bowen-road,博文路,other,其他,P3,,官方北洋园校区导览将其列为校园规划项目。,beiyangyuan/beiyangyuan-bowen-road.jpg
beiyangyuan,beiyangyuan-shuangtai-road,双台路,other,其他,P3,,官方北洋园校区导览将其列为校园规划项目。,beiyangyuan/beiyangyuan-shuangtai-road.jpg
beiyangyuan,beiyangyuan-she-garden,射园,other,其他,P3,,校方导览名称，具体用途尚未核验；不据此认定学生宿舍。,beiyangyuan/beiyangyuan-she-garden.jpg
beiyangyuan,beiyangyuan-yu-garden,御园,other,其他,P3,,校方导览名称，具体用途尚未核验；不据此认定学生宿舍。,beiyangyuan/beiyangyuan-yu-garden.jpg
beiyangyuan,beiyangyuan-shu-garden-2,数园,other,其他,P3,,校方导览名称，具体用途尚未核验；不据此认定学生宿舍。,beiyangyuan/beiyangyuan-shu-garden-2.jpg
beiyangyuan,beiyangyuan-xinyuan-road,新元路,other,其他,P3,,官方北洋园校区导览将其列为校园规划项目。,beiyangyuan/beiyangyuan-xinyuan-road.jpg
beiyangyuan,beiyangyuan-li-garden,礼园,other,其他,P3,,校方导览名称，具体用途尚未核验；不据此认定学生宿舍。,beiyangyuan/beiyangyuan-li-garden.jpg
beiyangyuan,beiyangyuan-xigu-road,西沽路,other,其他,P3,,官方北洋园校区导览将其列为校园规划项目。,beiyangyuan/beiyangyuan-xigu-road.jpg
weijinlu,weijinlu-25-teaching,曾宪梓楼（25教）,teaching,教学/科研,P1,25教、曾宪梓楼、二十五教、第25教学楼、第二十五教学楼,官方卫津路校区导览将其列为楼宇场馆。,weijinlu/weijinlu-25-teaching.jpg
weijinlu,weijinlu-water-building,水利馆,teaching,教学/科研,P1,,官方卫津路校区导览将其列为楼宇场馆。,weijinlu/weijinlu-water-building.jpg
weijinlu,weijinlu-09-teaching,第九教学楼,teaching,教学/科研,P1,9教、九楼,官方卫津路校区导览将其列为楼宇场馆。,weijinlu/weijinlu-09-teaching.jpg
weijinlu,weijinlu-chunshui-library,春水图书馆（北馆）,library,图书馆,P1,北馆、春水图书馆、天大北馆,天津大学全校三处馆舍中的卫津路校区馆舍；该校区有春水和科学两馆。,weijinlu/weijinlu-chunshui-library.jpg
weijinlu,weijinlu-science-library,科学图书馆（南馆）,library,图书馆,P1,南馆、科学图书馆、天大南馆,天津大学全校三处馆舍中的卫津路校区馆舍；该校区有春水和科学两馆。,weijinlu/weijinlu-science-library.jpg
weijinlu,weijinlu-east-gate,卫津路校区东门,gate,校门,P1,卫津路东门、东门,官方卫津路校区导览将其列为风物景观。入口坐标和开放规则未核验。,weijinlu/weijinlu-east-gate.jpg
weijinlu,weijinlu-xue-4-dining,学四食堂,dining,餐饮,P1,学4食堂,2024年迎新网食堂信息将其列为卫津路当时开放食堂之一。营业时间未核验。,weijinlu/weijinlu-xue-4-dining.jpg
weijinlu,weijinlu-stadium,体育场,sports,体育,P1,,官方场馆中心页面列为卫津路校区管理场馆。,weijinlu/weijinlu-stadium.jpg
weijinlu,weijinlu-gym,体育馆,sports,体育,P1,,官方场馆中心页面列为卫津路校区管理场馆。,weijinlu/weijinlu-gym.jpg
weijinlu,weijinlu-swimming,游泳馆,sports,体育,P1,,官方场馆中心页面列为卫津路校区管理场馆。,weijinlu/weijinlu-swimming.jpg
weijinlu,weijinlu-old-gym,老体育馆（篮球馆）,sports,体育,P1,篮球馆,官方卫津路校区导览将其列为楼宇场馆。,weijinlu/weijinlu-old-gym.jpg
weijinlu,weijinlu-east-gate-square,东门广场,culture,文化/景观,P1,,官方卫津路校区导览将其列为风物景观。,weijinlu/weijinlu-east-gate-square.jpg
weijinlu,weijinlu-feng-jicai,冯骥才文学艺术研究院,culture,文化/景观,P1,,官方卫津路校区导览将其列为楼宇场馆。,weijinlu/weijinlu-feng-jicai.jpg
weijinlu,weijinlu-liu-bao,刘豹像,culture,文化/景观,P1,,官方卫津路校区导览将其列为天大雕塑。,weijinlu/weijinlu-liu-bao.jpg
